Iteration,NMF Error,DNBMF Error,RDNBMF Error
1,621.2861298578161,621.4853061884361,623.8674979043051
2,139.43780817585315,135.4374787384184,139.52814795642894
3,139.208787585863,134.2610696892285,136.50778980245676
4,138.9847027899014,132.79495876462192,135.57266323568302
5,138.76374518884555,130.92368109056974,134.4603570039732
6,138.54412973404584,128.55216567769142,133.11158319569805
7,138.32406249233182,125.7134347756538,131.414162328602
8,138.10170817020412,122.7064277752751,129.28541727199445
9,137.87515921973753,119.90666435692887,126.8384774949432
10,137.64240636057895,117.36498236006608,124.34798615902818
11,137.4013105811003,114.98904825109626,121.93149103627117
12,137.1495770233131,112.80356573152349,119.56348373385525
13,136.88473156229617,110.8942467402488,117.2709764401257
14,136.60410137599862,109.28491818296416,115.14607917262624
15,136.3048013734829,107.9346255609358,113.25657303974909
16,135.98372900393534,106.79125406054605,111.59510646053978
17,135.63757067814717,105.81154254146765,110.1348884272849
18,135.26282373784738,104.96097842031345,108.84099129543333
19,134.85583849784348,104.21111888453676,107.67605535331879
20,134.41288519191122,103.53979042163596,106.60735491048563
21,133.9302504380957,102.93144980784535,105.6127764450521
22,133.40436680453638,102.37511750495781,104.68149747251185
23,132.83197688051663,101.8624033828666,103.81182127239438
24,132.2103296686886,101.38683475096599,103.00341579809248
25,131.53740202040873,100.94341970579839,102.2568287529676
26,130.81213148549023,100.52794987363677,101.5766643257542
27,130.0346400936168,100.13675313804455,100.96548984155432
28,129.20642256771814,99.76720489760466,100.41867466015691
29,128.3304691154731,99.41770810791738,99.9250441793383
30,127.41129418867938,99.08675504629312,99.47648309027011
31,126.45484983827302,98.7726814974629,99.0690939138283
32,125.46831562786491,98.47428430600016,98.69848775578006
33,124.45977477246677,98.19089312727576,98.3599352654129
34,123.43780473693484,97.92184364802277,98.04931867433424
35,122.4110255159145,97.6661447164698,97.76285700520215
36,121.38765626279451,97.42257498458277,97.49670513315426
37,120.37512879797436,97.18996642119953,97.24733879594781
38,119.37979545552403,96.96735146557052,97.0121912635806
39,118.40675179187656,96.75397517981948,96.78980537500809
40,117.45977621649715,96.54925463860377,96.57943672438992
41,116.5413727418826,96.3526904400789,96.38058144760598
42,115.65289254632289,96.16382850584097,96.19275548899506
43,114.79470579389273,95.98225692739992,96.0154228499064
44,113.96639639780014,95.80759271250028,95.8479979320879
45,113.16695736556967,95.63951179802326,95.68986369002168
46,112.3949709868445,95.4777939622315,95.54039111507115
47,111.64876470458971,95.32230039875374,95.39898262353141
48,110.92653895881655,95.17292418644111,95.26507694140086
49,110.22646715897221,95.02958104658954,95.13810826044363
50,109.5467702611202,94.89222173901125,95.01747845060432
51,108.88576950617092,94.76082282974379,94.90259398168644
52,108.2419211116997,94.63534278030738,94.79297093839557
53,107.61383646575968,94.51566775685123,94.6883230178392
54,107.00029091929258,94.4016010356405,94.58853201517363
55,106.40022378576172,94.29292534873665,94.49351506885324
56,105.8127317188747,94.18948865894178,94.40309686138696
57,105.23705727946776,94.09123613488767,94.31695466212759
58,104.67257421559448,93.99817550181567,94.2346335701647
59,104.11877074682155,93.91030961160344,94.15562527372829
60,103.57523194467578,93.82756858796819,94.07947632205561
61,103.04162212067095,93.74978213862116,94.00584660705228
62,102.51766796216285,93.67671827536692,93.93451985833535
63,102.00314299075379,93.60814701402902,93.86541964684181
64,101.49785375826546,93.54386898581838,93.79858791212249
65,101.00162804389142,93.48370593266645,93.73406322802315
66,100.51430517658393,93.42747092256043,93.67172784668263
67,100.0357284829704,93.3749324091258,93.61128064679247
68,99.56573975687404,93.32579557349705,93.5523879135065
69,99.10417556499361,93.2797202268553,93.49486675387911
70,98.65086514636046,93.23637259009149,93.43873540869672
71,98.20562963108468,93.19547761673469,93.38413450792167
72,97.76828229482474,93.15683255637926,93.33122367480851
73,97.33862957577476,93.12028180174231,93.28011861131617
74,96.91647260589986,93.08568766393608,93.23087585735993
75,96.50160904233424,93.0529219847213,93.18351042949327
76,96.09383502332683,93.02187829480918,93.13802336816946
77,95.69294711181266,92.9924881234854,93.09441112090062
78,95.29874412573452,92.96471997094754,93.05264488745959
79,94.91102878594751,92.93855493315054,93.01264700827686
80,94.5296091391433,92.9139540491578,92.9743027476632
81,94.15429973469581,92.89083344718472,92.937496940396
82,93.78492255098969,92.8690501302566,92.90213001818474
83,93.42130767921068,92.84840101942635,92.86810340179115
84,93.06329378137863,92.82865644850948,92.83530309595422
85,92.71072834518573,92.80963075701447,92.80360370751868
86,92.36346776152821,92.79123486113315,92.77288986532318
87,92.02137725197821,92.77346769384293,92.74307716654232
88,91.68433067326416,92.75636772666202,92.71411843415385
89,91.35221022449774,92.73995967141994,92.68599408636473
90,91.0249060807137,92.72421532398279,92.6586945299999
91,90.70231597357753,92.70905121490502,92.63220601438294
92,90.38434473708803,92.69437739585925,92.6065089812159
93,90.07090383296793,92.6801581311987,92.5815868286235
94,89.76191086737565,92.66642848687991,92.55743306023277
95,89.45728910772048,92.65326738217622,92.53404855631965
96,89.15696700585183,92.64075767342811,92.5114315249913
97,88.86087773182003,92.62894402846328,92.48956796993168
98,88.56895872083807,92.61779549929595,92.46842878939853
99,88.28115123504855,92.60720592000428,92.44797449281931
100,87.99739994120509,92.59705050865755,92.42816366453579
101,87.71765250534615,92.58724760741248,92.40896000052074
102,87.44185920585694,92.5777743403924,92.39033470965674
103,87.16997256680943,92.56864777314155,92.37226380684038
104,86.90194701395879,92.55989317787164,92.35472212024408
105,86.63773855605801,92.55150586578999,92.33767777975176
106,86.37730449410924,92.54343376540491,92.32109185790281
107,86.12060316069993,92.53561001402238,92.30492572509978
108,85.86759369071693,92.52799415745577,92.28915289120002
109,85.61823582357657,92.52056847838827,92.27376674306821
110,85.37248973582909,92.51330813763542,92.25877720442736
111,85.13031590178566,92.50616561892426,92.24419814852027
112,84.89167497886181,92.49908945220169,92.23003467158799
113,84.65652771375275,92.4920620573009,92.21627867700984
114,84.42483486543834,92.48511858491825,92.20291519772739
115,84.1965571413177,92.47833226443838,92.1899352272109
116,83.97165514342838,92.47178435098414,92.17734720886388
117,83.75008932257619,92.46553916699371,92.1651812083997
118,83.53181993913677,92.4596306218972,92.1534843805933
119,83.31680703014695,92.45405713998734,92.14230935283418
120,83.10501038296668,92.44878097547455,92.13169842730984
121,82.89638951619737,92.44373279238442,92.12166770542197
122,82.6909036686552,92.4388265784987,92.11219646327172
123,82.48851179705996,92.43398486270928,92.10322681036453
124,82.28917258276044,92.42916358637397,92.09467529165863
125,82.0928444473647,92.4243624135061,92.08645258311104
126,81.8994855766587,92.41961325656891,92.07848332845533
127,81.7090539517634,92.4149525092052,92.07071864457292
128,81.52150738614438,92.41039575092331,92.06313857696469
129,81.33680356689068,92.40593478360682,92.055747025705
130,81.15490009862134,92.4015537861784,92.04856367590399
131,80.97575454844755,92.39724292686053,92.0416160275591
132,80.79932449059208,92.39300125591382,92.03493237986044
133,80.62556754950866,92.38883528110081,92.02853579200098
134,80.45444144061945,92.3847564713097,92.02243954411026
135,80.285904008079,92.38077692379454,92.01664503211269
136,80.11991325923579,92.37690457716064,92.01114251885951
137,79.95642739570539,92.37314125597564,92.00591417298676
138,79.79540484116833,92.36948463445957,92.00093827473904
139,79.63680426615193,92.36593146149339,91.99619352920851
140,79.48058461017742,92.3624781693235,91.99166262953743
141,79.32670510171286,92.35911760401582,91.98733434649769
142,79.17512527640774,92.35583556056767,91.98320368429255
143,79.02580499408575,92.35261310236095,91.9792701376964
144,78.87870445494407,92.34943473834352,91.97553470419771
145,78.73378421536259,92.34629394162867,91.97199683497233
146,78.59100520366016,92.34319052740089,91.96865260409922
147,78.45032873606775,92.34012596707468,91.96549474883815
148,78.31171653310227,92.33710356580534,91.96251411203947
149,78.17513073645793,92.33412999176987,91.95970124445172
150,78.04053392644427,92.33121134846985,91.95704714889068
151,77.90788913993501,92.32834523733511,91.95454307079532
152,77.77715988872798,92.32551685035945,91.9521799521397
153,77.64831017815958,92.32270385934771,91.9499481363264
154,77.52130452576722,92.3198858072718,91.94783737640685
155,77.39610797976202,92.31704982911697,91.94583676548858
156,77.27268613703538,92.31419001383401,91.94393428106557
157,77.1510051604004,92.31130350762959,91.94211610106572
158,77.03103179476082,92.30838732643292,91.94036622225872
159,76.91273338188272,92.30543880027709,91.93866686676729
160,76.79607787345225,92.30245957924872,91.93699986728188
161,76.68103384210872,92.29945911573823,91.93534896691557
162,76.56757049016562,92.29645335126058,91.93370265041207
163,76.45565765576536,92.2934585075262,91.93205656867147
164,76.34526581625747,92.29048380660069,91.93041423672348
165,76.2363660886558,92.28752745262453,91.92878516138411
166,76.12893022709775,92.28457766384625,91.92718080052028
167,76.0229306173173,92.28161735565402,91.92560987353352
168,75.91834026823578,92.27862976854598,91.92407481900389
169,75.81513280086979,92.27560301806052,91.92257061984725
170,75.71328243485058,92.27253248781284,91.92108617706167
171,75.61276397293685,92.26942058563714,91.91960741075043
172,75.51355278396906,92.26627413801134,91.91812078856901
173,75.41562478476654,92.26310065735579,91.91661618558452
174,75.31895642148854,92.2599053589234,91.91508852451763
175,75.22352465098336,92.2566906109185,91.91353808404085
176,75.12930692260204,92.25345820905488,91.91196957199526
177,75.03628116090827,92.25021294643115,91.91039021283895
178,74.94442574962682,92.24696483814661,91.90880729631954
179,74.85371951708227,92.24372821619761,91.90722579217798
180,74.7641417232752,92.24051809868861,91.90564662134612
181,74.67567204864211,92.23734592486612,91.904065985967
182,74.58829058445478,92.2342168119022,91.90247588037627
183,74.50197782473262,92.23112926488994,91.90086562130536
184,74.4167146594831,92.22807684252479,91.89922398515401
185,74.33248236904312,92.22505062949357,91.89754136668653
186,74.2492626192739,92.22204165979741,91.89581135396153
187,74.1670374573608,92.2190429924177,91.89403130757518
188,74.0857893079753,92.21605126319247,91.89220189593522
189,74.00550096959806,92.21306730113781,91.89032590167707
190,73.92615561081465,92.21009543385138,91.88840680229134
191,73.84773676644308,92.2071416626544,91.88644756657067
192,73.77022833339191,92.20421147631248,91.88444989140767
193,73.69361456617847,92.20130814480936,91.88241388263083
194,73.61788007206337,92.19843191350452,91.88033807603657
195,73.54300980580841,92.1955800097532,91.8782196982127
196,73.46898906405104,92.19274713130893,91.87605510570117
197,73.39580347933249,92.18992612695304,91.87384034218145
198,73.32343901381992,92.18710871767327,91.87157172120557
199,73.25188195276003,92.1842861846476,91.86924631290941
200,73.1811188977203,92.1814499570042,91.86686222732303
201,73.11113675965595,92.17859203849457,91.86441863980585
202,73.04192275185935,92.17570526971593,91.86191557188899
203,72.97346438282315,92.17278350289685,91.85935350186541
204,72.90574944905846,92.16982178580459,91.85673293465275
205,72.83876602790231,92.16681656316284,91.85405409356262
206,72.77250247033682,92.16376577954384,91.85131689503909
207,72.70694739384591,92.1606687527147,91.84852130260576
208,72.6420896753296,92.15752582308933,91.84566802218774
209,72.57791844408423,92.15433792472102,91.84275933343542
210,72.514423074872,92.15110622609276,91.83979973570901
211,72.45159318107979,92.14783191404936,91.8367961205508
212,72.38941860797938,92.1445161856826,91.83375737861796
213,72.32788942609525,92.14116054802348,91.83069359784682
214,72.26699592468515,92.13776743652485,91.8276151410103
215,72.2067286053379,92.13434094221059,91.82453183821993
216,72.14707817569459,92.13088729190156,91.82145237887788
217,72.08803554329552,92.12741480283199,91.81838387282541
218,72.0295918095564,92.1239332516716,91.81533152008006
219,71.97173826387905,92.12045279470088,91.81229835652809
220,71.91446637790115,92.1169826983861,91.80928509893572
221,71.85776779988764,92.11353020558393,91.80629018864106
222,71.80163434926719,92.11009984878896,91.80331019499997
223,71.7460580113186,92.10669336640709,91.80034069835861
224,71.69103093201007,92.10331013109474,91.797377578332
225,71.63654541299462,92.09994782793956,91.79441836825387
226,71.58259390676508,92.09660312779214,91.79146320822007
227,71.529169011971,92.09327221429314,91.7885150482803
228,71.47626346889857,92.08995111099607,91.78557902058324
229,71.42387015511767,92.08663580755147,91.7826611630335
230,71.37198208129426,92.08332225933194,91.7797669682155
231,71.32059238717022,92.08000642078575,91.77690054723449
232,71.26969433771052,92.07668446297691,91.77406507969843
233,71.21928131941482,92.07335317153718,91.77126425625165
234,71.1693468367959,92.0700103422741,91.76850344615285
235,71.11988450901845,92.06665497593615,91.76578964477748
236,71.07088806669822,92.0632872313687,91.76313044538678
237,71.02235134885643,92.0599082401452,91.76053286881063
238,70.97426830002725,92.05651988415516,91.75800257565254
239,70.92663296751132,92.053124571434,91.75554350851387
240,70.87943949877308,92.04972502978974,91.75315781425968
241,70.83268213897153,92.04632416633727,91.75084591732474
242,70.78635522862798,92.04292503274688,91.74860668214153
243,70.74045320141481,92.03953087803175,91.74643764034221
244,70.69497058206171,92.0361452124036,91.74433526160901
245,70.64990198437555,92.03277178410413,91.74229523786543
246,70.60524210936667,92.0294143973405,91.74031275254815
247,70.56098574347105,92.02607656471163,91.73838273004277
248,70.51712775686455,92.02276108586952,91.73650010073008
249,70.47366310186672,92.0194697165851,91.73466014649779
250,70.43058681141709,92.01620307987949,91.73285897038231
251,70.38789399762632,92.01296086174483,91.73109404839786
252,70.34557985039521,92.00974220977537,91.72936470245301
253,70.30363963608785,92.0065461928522,91.72767225743287
254,70.26206869626702,92.00337220510731,91.72601967405872
255,70.22086244647379,92.0002202550938,91.72441059712678
256,70.18001637505097,91.99709113004513,91.72284800653047
257,70.13952604200675,91.99398645263673,91.72133294807102
258,70.09938707791288,91.99090866364291,91.71986398269598
259,70.05959518283127,91.98786096288761,91.71843775438607
260,70.02014612526945,91.9848472207072,91.7170503930652
261,69.98103574115848,91.98187184413149,91.71569884608961
262,69.94225993284945,91.97893956506742,91.71438131232597
263,69.90381466813028,91.97605512411646,91.71309666724332
264,69.86569597925265,91.97322284432711,91.71184341704482
265,69.8278999619717,91.97044611997644,91.71061886431698
266,69.79042277459844,91.96772688331596,91.70941893351943
267,69.75326063705803,91.96506514733393,91.70823875116726
268,69.71640982995314,91.96245873744898,91.70707371836247
269,69.67986669363523,91.95990329716278,91.70592056223039
270,69.64362762727832,91.95739259053228,91.70477787265766
271,69.60768908795349,91.95491905219681,91.703645948631
